package,organization,avg_clustering,avg_clusteringXcrowd_pct,avg_min_path,avg_min_pathXcrowd_pct,crowd_pct,crowd_pct_2,gini_coefficient,gini_coefficientXcrowd_pct,nodes,project_age,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_2,topic_20,topic_21,topic_22,topic_23,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,total_contributors
noCAPTCHA,ARCANEDEV,0.2548036758563074,0.0499615050698642,1.9714285714285715,0.3865546218487395,0.19607843137254904,0.03844675124951941,0.4720496894409938,0.09255876263548896,21,1734.0,0.018169427651683896,0.011082590006443918,0.028519614656664888,0.05980789279375149,0.012109927814073707,0.03532651593262444,0.05526231256864813,0.012302080939086723,0.02830679876235675,0.02607506308324483,0.013994470029613194,0.025040808532919203,0.021066349950067845,0.011585467000853042,0.0305185403807887,0.036949417078677486,0.4589176758059434,0.012080159931614692,0.011082589987437335,0.011082590006443918,0.011082589987437335,0.014110202691992937,0.01870694639617387,0.011082589987437335,3
mbedtls,ARMmbed,0.644125535435185,0.08289615586470207,2.1762476820124164,0.2800736147285545,0.12869565217391304,0.01656257088846881,0.616868530492062,0.07938829783723929,158,630.0,0.03045594551736807,0.06872450887884309,0.0303567870724492,0.01053570355572624,0.013385350685339513,0.01384783381221407,0.044246394864692375,0.017014982120315658,0.016107703072427794,0.3465743541961718,0.01639359655290297,0.014177879252153016,0.016698413813577555,0.06369532321170883,0.02798489350995912,0.01566687227885534,0.013156788609921932,0.011116409926993271,0.0178392420568299,0.1086541116998599,0.017997100341088344,0.030180284630779805,0.01772729724407105,0.025428426444030757,29
jitwatch,AdoptOpenJDK,0.3045819851790001,0.04027530382532233,1.9633649932157395,0.2596185114996019,0.1322314049586777,0.017485144457345808,0.5306799336650083,0.07017255321190193,67,2331.0,0.052358294624199934,0.03697898860320507,0.04629708243923825,0.028289032722787225,0.02093912016188856,0.023205881145992136,0.06142126723705221,0.022684139300628688,0.017257414256446352,0.014130948723272184,0.028081773791115646,0.022893563864117332,0.023537164998002524,0.03274167089383732,0.0383420771803678,0.02949627499861368,0.01412218612394938,0.028466937946184545,0.03317574067799331,0.06696769916957836,0.04883513148592482,0.18650383355687986,0.0580103976720612,0.033012503693096856,3
html2text,Alir3z4,0.7963823179027877,0.24946915982496964,2.0317905563347356,0.6364645116229294,0.3132530120481928,0.0981274495572652,0.5504079254079254,0.17241694048922965,99,2145.0,0.043796652701631605,0.015465608427163074,0.1072993219411863,0.10942874021647084,0.02497925830539316,0.015913094618116266,0.0175502965166406,0.018210392647974742,0.016650953504722562,0.05128367887852989,0.05599802818270056,0.024162305454309616,0.02878179758813025,0.0485500529218741,0.10483589730251372,0.0212026387388404,0.012065557439604569,0.018613062083238253,0.02722402577745487,0.027693038666189683,0.12600304799033674,0.013871298859292572,0.016404000298482258,0.032149678846407265,15
async-http-client,AsyncHttpClient,0.4308315813360746,0.07869069978741089,1.9889034721393628,0.3632700405733996,0.18264840182648398,0.03336043868976877,0.5817871709306637,0.1062624969736372,290,1975.0,0.016866679253959745,0.026683027793835468,0.02467789667653376,0.014028064442218664,0.01999574527016151,0.01605824849853092,0.05326050622311752,0.015556765734359173,0.01562506225493739,0.03870070626133073,0.02524493810638642,0.025521737420751863,0.014763312036499956,0.27159134092030035,0.028333495400548393,0.0177495955385668,0.01821824449265873,0.013911143955505214,0.025672865082886964,0.019658484054247003,0.01332067550075325,0.19154992947719232,0.0305683966847932,0.044691181982823805,29
DoctrineExtensions,Atlantic18,0.6297476354111673,0.4510354686052955,2.220170551816091,1.5901221519763895,0.7162162162162162,0.5129656683710738,0.6155369383092155,0.4408575368971409,1010,3369.0,0.01753614606224337,0.021028025345414304,0.1997514821044495,0.05324550333504332,0.014893459386883922,0.015587812392608709,0.09566559834599192,0.013634010968082342,0.025521458877128617,0.04408547454660771,0.027892839176681217,0.050157563320968636,0.015158902505795315,0.01766398937691583,0.03292207244276984,0.024967145740788253,0.12531790656929007,0.01907968270628131,0.028305122802774037,0.015479423456276613,0.014006964958001676,0.04083162811469144,0.017711090687641342,0.0298001292833331,12
bowerphp,Bee-Lab,0.5117540861608004,0.2703606492924983,1.9531963470319635,1.031877315413113,0.5283018867924528,0.27910288358846563,0.5264506069718231,0.2781248489662462,73,2268.0,0.03654919655005239,0.02160931945315936,0.01884699243177869,0.029230004914586438,0.039029385929382376,0.013338208360103321,0.04469876894473928,0.013998677418725628,0.012588669580793908,0.02384511252459721,0.03616571183424114,0.022241312912253498,0.01263130156221945,0.03746040582302071,0.03555542050677092,0.06276075991162029,0.0856501265701388,0.02667265770272637,0.018184940840694167,0.2026517049814923,0.11522161289986198,0.021732127430158205,0.018231845679407825,0.02898737750187212,8
cgal,CGAL,0.6672848713878472,0.06248821538080174,2.245063365753021,0.2102400476290454,0.09364548494983277,0.008769476851489356,0.6044694866350918,0.056605838213319624,117,678.0,0.03031310426617959,0.060808821777339435,0.02109907775966433,0.03737590259317047,0.03623136820934544,0.03719495765055971,0.0314901029099902,0.04631639362880552,0.0169884676273274,0.08907385314363309,0.09838287421016104,0.022073554818779432,0.023514268493123974,0.017212739063409536,0.0320840789559254,0.03191154743241737,0.020528241766896226,0.0596484403406699,0.017419096376811206,0.1730199889205693,0.018842917881846662,0.014701639207458471,0.01815634800225081,0.025417242408204442,21
green,CleanCut,0.6115804253128198,0.23931407947023384,1.9503129890453836,0.76316595223515,0.39130434782608703,0.15311909262759926,0.5115923009623797,0.2001882916809312,72,2108.0,0.11359749396004915,0.016747683493898338,0.017014519357810003,0.015043109123892498,0.020540328572031245,0.04126066907616186,0.016627851741983318,0.056230765833221966,0.017809263508552345,0.05581896164069313,0.027505525329311168,0.00975138226192425,0.01690211475470849,0.03544318173763328,0.04125850268088632,0.011836352502117762,0.024533504937136668,0.07413931892628914,0.024792870779702176,0.04774514911696315,0.2432736542090501,0.01858877034184976,0.013454416249903085,0.027255025004763254,10
toastr,CodeSeven,0.6393339345237321,0.4104365999411613,2.3807010519419065,1.5283512926046807,0.6419753086419753,0.4121322969059594,0.5553952563303353,0.35655004110095595,394,2849.0,0.015197589069987846,0.0169922374885216,0.027085138330775718,0.16895180846712438,0.022300760639465855,0.0458096150561262,0.02869092704832693,0.019990379889016956,0.017931375088535737,0.03620840320102522,0.028981102804575005,0.016346322611043945,0.05504510111010103,0.04179581600528593,0.1392664874129206,0.09248887533757176,0.02236442507688548,0.04108310219718613,0.019781777529898927,0.029916884630883687,0.021621870231231518,0.015167613528564432,0.017764931216522634,0.03891903427734136,16
